Result Log
Run 1
50	18	65
125	38	139
200	36	111
275	32	98
350	32	81
425	32	94
500	32	91
575	24	89
650	30	82
725	23	89
800	18	80
875	18	98
950	21	130
1025	20	80
1100	24	89
1175	25	121
1250	25	89
1325	24	88
1400	18	125
1475	27	90
1550	28	85
1625	27	113
1700	25	84
1775	29	85
1850	32	84
1925	32	71
2000	33	95

Run 2
50	15	75
125	32	92
200	37	112
275	30	105
350	23	105
425	26	74
500	28	119
575	19	85
650	16	55
725	21	120
800	22	71
875	16	176
950	17	82
1025	22	109
1100	17	77
1175	20	64
1250	18	68
1325	16	112
1400	20	92
1475	18	88
1550	21	87
1625	21	84
1700	17	123
1775	22	74
1850	23	67
1925	28	82
2000	23	88

Run 3
50	12	78
125	23	95
200	37	87
275	33	112
350	43	125
425	36	122
500	28	87
575	34	90
650	27	95
725	25	151
800	20	104
875	23	93
950	25	93
1025	20	114
1100	19	62
1175	22	105
1250	22	114
1325	23	102
1400	20	103
1475	22	95
1550	21	94
1625	26	123
1700	24	137
1775	33	92
1850	30	85
1925	26	91
2000	40	119

Run 4
50	20	76
125	40	136
200	46	139
275	45	114
350	48	161
425	47	178
500	44	108
575	46	103
650	45	91
725	48	147
800	40	89
875	42	124
950	42	89
1025	42	119
1100	39	120
1175	38	85
1250	35	95
1325	35	79
1400	31	89
1475	29	72
1550	32	136
1625	25	101
1700	24	88
1775	30	120
1850	28	90
1925	24	107
2000	28	91

Run 5
50	13	73
125	27	94
200	37	103
275	36	112
350	27	90
425	30	86
500	32	130
575	31	95
650	32	83
725	31	90
800	27	88
875	29	84
950	31	102
1025	31	91
1100	27	96
1175	34	107
1250	29	88
1325	32	92
1400	28	83
1475	29	89
1550	26	85
1625	35	99
1700	26	74
1775	32	89
1850	28	111
1925	37	93
2000	32	75

Run 6
50	16	89
125	24	90
200	32	98
275	45	119
350	36	106
425	36	95
500	35	175
575	28	77
650	30	101
725	28	102
800	30	89
875	25	87
950	29	95
1025	38	116
1100	29	91
1175	34	104
1250	39	93
1325	34	91
1400	28	86
1475	31	91
1550	29	78
1625	32	96
1700	32	94
1775	31	93
1850	33	74
1925	33	96
2000	23	77

Run 7
50	14	63
125	22	107
200	29	102
275	39	111
350	25	92
425	30	91
500	35	87
575	34	105
650	28	119
725	28	64
800	35	94
875	36	196
950	32	117
1025	35	101
1100	32	86
1175	35	106
1250	39	99
1325	34	111
1400	38	97
1475	30	75
1550	31	105
1625	32	91
1700	41	94
1775	35	80
1850	37	88
1925	35	97
2000	38	105

Run 8
50	22	89
125	31	85
200	42	110
275	34	112
350	39	87
425	45	124
500	34	142
575	39	101
650	37	94
725	30	92
800	28	129
875	24	110
950	23	93
1025	30	112
1100	18	85
1175	22	99
1250	24	115
1325	27	105
1400	23	82
1475	28	147
1550	31	113
1625	34	127
1700	32	92
1775	28	91
1850	33	145
1925	35	136
2000	37	82

Run 9
50	21	118
125	33	97
200	38	115
275	50	155
350	46	141
425	42	99
500	42	141
575	36	115
650	41	105
725	30	78
800	33	110
875	30	111
950	38	115
1025	32	88
1100	29	99
1175	33	106
1250	34	92
1325	32	153
1400	32	111
1475	36	120
1550	25	98
1625	40	153
1700	34	115
1775	33	101
1850	40	86
1925	34	133
2000	29	178

Run 10
50	17	91
125	32	132
200	24	94
275	30	120
350	28	102
425	25	99
500	26	93
575	25	91
650	22	75
725	20	98
800	20	127
875	22	99
950	20	72
1025	25	100
1100	30	118
1175	33	81
1250	35	94
1325	30	97
1400	29	111
1475	28	74
1550	25	66
1625	30	61
1700	30	104
1775	30	84
1850	27	67
1925	32	90
2000	30	94

Run 11
