Result Log
Run 1
50	10	95
125	-19	70
200	-76	42
275	-150	0
350	-192	-75
425	-199	53
500	-208	21
575	-208	17
650	-210	40
725	-213	0
800	-220	12
875	-223	11
950	-231	40
1025	-239	34
1100	-253	0
1175	-263	5
1250	-268	14
1325	-268	5
1400	-273	20
1475	-279	0
1550	-283	5
1625	-284	7
1700	-284	36
1775	-286	-133
1850	-285	-209
1925	-285	0
2000	-285	-211

Run 2
50	11	81
125	4	72
200	0	79
275	0	52
350	-1	39
425	-1	33
500	-4	79
575	-12	33
650	-33	22
725	-89	-1
800	-144	-6
875	-213	0
950	-250	4
1025	-277	-5
1100	-287	0
1175	-291	-186
1250	-293	0
1325	-295	-117
1400	-295	-46
1475	-295	-136
1550	-295	-186
1625	-295	-23
1700	-295	0
1775	-295	-186
1850	-295	0
1925	-295	-186
2000	-296	-160

Run 3
50	1	63
125	-87	93
200	-197	0
275	-248	0
350	-265	0
425	-279	-29
500	-280	-153
575	-282	0
650	-282	0
725	-282	0
800	-283	-28
875	-283	-55
950	-283	-17
1025	-283	-3
1100	-283	-17
1175	-283	4
1250	-283	-70
1325	-283	-28
1400	-284	25
1475	-285	-221
1550	-286	6
1625	-288	-6
1700	-290	-198
1775	-292	-221
1850	-296	26
1925	-298	-27
2000	-300	-3

Run 4
50	13	72
125	7	95
200	4	75
275	1	83
350	0	53
425	0	75
500	-48	27
575	-152	6
650	-232	7
725	-256	60
800	-256	-1
875	-259	38
950	-257	66
1025	-258	11
1100	-258	32
1175	-259	-8
1250	-257	29
1325	-261	0
1400	-261	21
1475	-261	-1
1550	-261	-3
1625	-261	4
1700	-263	6
1775	-262	0
1850	-265	0
1925	-267	-2
2000	-268	0

Run 5
50	11	93
125	9	97
200	4	55
275	2	88
350	0	88
425	-2	35
500	-80	6
575	-162	8
650	-267	10
725	-283	7
800	-283	0
875	-282	0
950	-284	1
1025	-285	-17
1100	-284	-1
1175	-285	-1
1250	-285	-1
1325	-285	-34
1400	-285	1
1475	-287	0
1550	-286	-4
1625	-288	-1
1700	-289	-1
1775	-290	0
1850	-291	6
1925	-294	-9
2000	-296	0

Run 6
50	1	51
125	-64	80
200	-177	40
275	-245	23
350	-251	22
425	-252	72
500	-252	46
575	-251	6
650	-250	44
725	-257	0
800	-253	18
875	-259	20
950	-267	18
1025	-272	13
1100	-273	0
1175	-275	19
1250	-274	75
1325	-279	0
1400	-280	10
1475	-285	0
1550	-289	-138
1625	-290	35
1700	-291	-34
1775	-295	-255
1850	-297	0
1925	-299	-272
2000	-299	21

Run 7
50	10	58
125	1	87
200	-3	87
275	-70	49
350	-154	35
425	-211	8
500	-221	-2
575	-225	8
650	-230	42
725	-237	0
800	-241	0
875	-243	27
950	-243	14
1025	-247	30
1100	-252	35
1175	-252	22
1250	-259	-179
1325	-264	0
1400	-279	17
1475	-285	0
1550	-288	-9
1625	-289	0
1700	-290	-199
1775	-293	0
1850	-295	-228
1925	-295	-241
2000	-294	-106

Run 8
50	1	75
125	-51	82
200	-130	11
275	-202	59
350	-224	24
425	-241	65
500	-251	0
575	-254	-4
650	-253	29
725	-257	12
800	-257	-5
875	-259	-72
950	-263	51
1025	-266	0
1100	-268	69
1175	-273	0
1250	-273	0
1325	-274	0
1400	-278	0
1475	-277	13
1550	-280	32
1625	-282	25
1700	-285	26
1775	-285	-12
1850	-291	10
1925	-294	0
2000	-294	0

Run 9
50	11	105
125	-38	55
200	-92	28
275	-156	34
350	-159	52
425	-166	13
500	-183	69
575	-198	32
650	-224	11
725	-234	5
800	-249	-131
875	-256	-151
950	-260	0
1025	-266	0
1100	-265	0
1175	-268	-5
1250	-270	4
1325	-271	0
1400	-274	-16
1475	-276	-3
1550	-274	-20
1625	-277	-204
1700	-280	-62
1775	-284	-186
1850	-291	-186
1925	-299	-3
2000	-300	24

Run 10
50	7	102
125	-42	66
200	-106	71
275	-158	75
350	-212	48
425	-240	93
500	-247	51
575	-257	35
650	-261	114
725	-267	61
800	-275	49
875	-280	80
950	-280	71
1025	-282	78
1100	-283	23
1175	-285	49
1250	-286	47
1325	-285	37
1400	-286	0
1475	-286	16
1550	-286	10
1625	-287	-17
1700	-287	30
1775	-287	-130
1850	-288	-2
1925	-289	37
2000	-289	16

Run 11
50	8	54
125	4	90
200	0	97
275	-1	109
350	-5	42
425	-36	17
500	-134	5
575	-231	22
650	-272	5
725	-284	0
800	-299	-2
875	-301	0
950	-304	0
1025	-305	-4
1100	-306	15
1175	-305	-2
1250	-305	-36
1325	-306	0
1400	-306	-2
1475	-306	-18
1550	-306	0
1625	-306	-147
1700	-306	-252
1775	-306	0
1850	-306	0
1925	-306	0
2000	-306	16

Run 12
50	12	75
125	9	75
200	5	62
275	3	77
350	0	85
425	-3	36
500	-22	72
575	-51	30
650	-127	11
725	-179	36
800	-220	0
875	-250	-2
950	-260	-2
1025	-272	-2
1100	-283	3
1175	-291	-30
1250	-299	-235
1325	-302	-144
1400	-302	-3
1475	-302	0
1550	-303	-3
1625	-303	-59
1700	-303	8
1775	-303	3
1850	-303	-30
1925	-304	-1
2000	-304	0

Run 13
50	10	99
125	3	66
200	-3	65
275	-102	25
350	-216	39
425	-294	-9
500	-295	46
575	-296	4
650	-298	-229
725	-297	30
800	-299	10
875	-301	-6
950	-300	0
1025	-301	-14
1100	-302	0
1175	-302	-6
1250	-302	-14
1325	-302	-6
1400	-303	-12
1475	-303	-2
1550	-304	3
1625	-305	60
1700	-306	0
1775	-306	-4
1850	-306	-1
1925	-306	-1
2000	-306	-254

Run 14
50	9	83
125	2	84
200	0	75
275	-61	77
350	-149	32
425	-229	0
500	-266	69
575	-274	12
650	-276	1
725	-277	-43
800	-281	-111
875	-281	-36
950	-282	11
1025	-282	2
1100	-285	-1
1175	-287	-1
1250	-288	58
