Result Log
Run 1
50	-4	43
125	9	84
200	13	55
275	18	83
350	15	68
425	10	53
500	12	57
575	11	57
650	8	47
725	9	56
800	7	54
875	7	47
950	5	45
1025	6	30
1100	6	43
1175	7	54
1250	5	49
1325	5	47
1400	6	59
1475	7	50
1550	8	60
1625	7	70
1700	6	51
1775	5	65
1850	4	44
1925	5	37
2000	8	54

Run 2
50	2	37
125	9	50
200	11	61
275	12	53
350	12	64
425	10	38
500	13	58
575	10	72
650	10	53
725	9	44
800	9	84
875	7	51
950	7	72
1025	3	45
1100	6	40
1175	9	60
1250	8	57
1325	8	85
1400	6	49
1475	6	51
1550	5	46
1625	9	67
1700	5	57
1775	9	83
1850	7	66
1925	4	57
2000	6	41

Run 3
50	2	54
125	11	63
200	18	53
275	18	50
350	23	67
500	17	53
575	19	47
650	19	66
725	15	55
800	13	65
875	9	42
950	11	55
1025	8	51
1100	7	51
1175	11	54
1250	10	60
1325	10	71
1400	8	51
1475	10	67
1550	8	68
1625	7	40
1700	8	58
1775	9	39
1850	10	53
1925	10	48
2000	8	61

Run 4
50	-3	29
125	6	60
200	11	58
275	13	71
350	20	78
425	15	57
500	15	60
575	13	60
650	10	57
725	10	75
800	11	65
875	3	49
950	6	42
1025	6	47
1100	12	58
1175	4	42
1250	5	42
1325	5	52
1400	5	77
1475	8	62
1550	6	54
1625	9	78
1700	6	36
1775	4	57
1850	6	81
1925	8	85
2000	5	62

Run 5
50	3	35
125	6	49
200	12	79
275	15	66
350	16	53
425	19	90
500	14	47
575	11	50
650	10	49
725	12	61
800	8	57
875	8	68
950	8	54
1025	10	75
1100	5	64
1175	7	81
1250	6	63
1325	9	90
1400	7	40
1475	7	57
1550	7	51
1625	6	52
1700	8	48
1775	5	41
1850	7	80
1925	5	39
2000	8	72

Run 6
50	1	75
125	10	66
200	12	63
275	14	69
350	17	63
425	15	85
500	13	50
575	15	66
650	11	68
725	11	55
800	12	54
875	9	61
950	5	44
1025	7	49
1100	8	94
1175	5	43
1250	7	44
1325	7	67
1400	7	61
1475	10	81
1550	8	59
1625	5	58
1700	6	45
1775	6	52
1850	7	55
1925	4	35
2000	6	35

Run 7
50	5	48
125	7	37
200	11	69
275	19	130
350	14	48
425	8	47
500	8	50
575	4	44
650	6	68
725	7	67
800	4	71
875	5	49
950	7	53
1025	7	54
1100	5	55
1175	6	47
1250	6	69
1325	5	38
1400	6	57
1475	5	54
1550	6	60
1625	5	59
1700	8	48
1775	7	47
1850	8	58
1925	8	65
2000	6	48

Run 8
50	3	25
125	9	58
200	14	59
275	21	67
350	22	61
425	16	59
500	17	77
575	12	54
650	11	58
725	7	40
800	5	39
875	6	45
950	6	50
1025	6	49
1100	4	58
1175	5	45
1250	6	42
1325	6	69
1400	6	54
1475	6	56
1550	7	65
1625	8	65
1700	11	84
1775	6	42
1850	4	72
1925	7	33
2000	7	90

Run 9
50	-9	47
125	11	42
200	14	60
275	16	84
350	15	46
425	12	48
500	11	61
575	9	48
650	7	50
725	4	60
800	3	42
875	3	50
950	2	45
1025	2	29
1100	3	49
1175	6	50
1250	6	68
1325	6	59
1400	3	38
1475	4	45
1550	5	60
1625	8	49
1700	8	56
1775	5	53
1850	8	77
1925	5	59
2000	4	49

Run 10
50	3	47
125	7	57
200	8	47
275	12	52
350	14	49
425	12	47
500	14	51
575	13	54
650	10	67
725	11	69
800	9	49
875	7	60
950	5	39
1025	5	51
1100	7	73
1175	6	62
1250	5	74
1325	10	73
1400	4	134
1475	7	78
1550	7	49
1625	6	55
1700	7	82
1775	8	67
1850	10	67
1925	7	70
2000	9	49

Run 11
50	6	40
125	10	59
200	14	74
275	16	74
350	15	92
425	14	54
500	12	51
575	13	55
650	10	54
725	8	49
800	5	62
875	3	45
950	2	46
1025	5	50
1100	5	81
1175	3	55
1250	4	48
1325	8	58
1400	5	61
1475	7	63
1550	5	62
1625	4	52
1700	8	68
1775	4	57
1850	5	47
1925	5	58
2000	6	49

Run 12
50	-3	50
125	11	67
200	16	75
275	14	65
350	13	69
425	14	64
500	12	49
575	11	58
650	8	55
725	9	54
800	7	55
875	6	77
950	6	50
1025	5	35
1100	8	54
1175	7	49
1250	7	34
1325	7	50
1400	10	42
1475	6	46
1550	9	62
1625	8	57
1700	8	46
1775	8	50
1850	8	46
1925	8	57
2000	8	42

Run 13
50	5	33
125	6	44
200	13	75
275	13	47
350	15	55
425	8	43
500	11	45
575	10	63
650	9	61
725	6	39
800	9	59
875	6	44
950	9	66
1025	10	44
1100	8	65
1175	6	44
1250	6	55
1325	8	46
1400	10	58
1475	8	46
1550	8	39
1625	5	62
1700	10	79
1775	10	53
1850	10	45
1925	9	58
2000	10	59

Run 14
50	3	39
125	6	51
200	11	45
275	15	54
350	17	74
425	11	48
500	11	57
575	13	91
650	8	46
725	9	55
800	4	50
875	6	60
950	4	54
1025	4	57
1100	5	50
1175	6	49
1250	5	48
1325	6	50
1400	4	54
1475	6	80
1550	5	71
1625	6	47
1700	5	65
1775	7	51
1850	6	60
1925	7	59
2000	7	65

Run 15
50	8	63
125	12	58
200	16	50
275	19	51
350	19	50
425	21	72
500	22	69
575	21	59
650	14	46
725	18	69
800	18	58
875	13	68
950	11	47
1025	15	69
1100	11	60
1175	12	78
1250	10	54
1325	10	68
1400	8	71
1475	10	53
1550	12	64
1625	7	57
1700	7	50
1775	9	65
1850	7	47
1925	11	78
2000	8	65

Run 16
50	-1	41
125	6	64
200	12	67
275	10	42
350	11	63
425	13	86
500	16	59
575	11	56
650	10	52
725	9	47
800	7	51
875	6	59
950	5	51
1025	4	46
1100	4	36
1175	7	67
1250	5	51
1325	7	49
1400	7	46
1475	5	49
1550	5	47
1625	6	39
1700	6	62
1775	3	71
1850	3	36
1925	4	41
2000	6	44

Run 17
50	-3	38
125	14	65
200	12	68
275	11	47
350	15	67
425	13	49
500	12	47
575	9	53
650	7	45
725	5	49
800	5	70
875	4	56
950	5	42
1025	4	59
1100	6	45
1175	3	32
1250	3	41
1325	4	86
1400	7	43
1475	7	49
1550	8	59
1625	3	57
1700	4	52
1775	6	50
1850	5	46
1925	7	40
2000	7	45

Run 18
50	5	64
125	7	46
200	10	42
275	14	50
350	18	66
425	16	69
500	17	63
575	9	62
650	8	73
725	6	53
800	7	60
875	4	50
950	7	42
1025	4	58
1100	4	51
1175	6	52
1250	2	41
1325	4	48
1400	6	43
1475	7	51
1550	10	70
1625	10	51
1700	8	57
1775	8	41
1850	6	61
1925	4	62
2000	6	41

Run 19
50	1	26
125	7	39
200	10	58
275	16	74
350	12	47
425	11	55
500	8	42
575	5	32
650	7	61
725	9	59
800	6	49
875	7	42
950	3	73
1025	5	59
1100	6	45
1175	4	55
1250	4	49
1325	3	43
1400	7	57
1475	5	46
1550	5	44
1625	8	52
1700	5	43
1775	9	71
1850	7	66
1925	8	50
2000	8	51

Run 20
50	3	44
125	11	54
200	13	77
275	16	54
350	15	40
425	20	68
500	18	51
575	21	59
650	14	63
725	14	62
800	12	61
875	13	49
950	9	63
1025	7	49
1100	7	76
1175	4	55
1250	4	31
1325	5	54
1400	4	41
1475	6	76
1550	7	69
1625	5	61
1700	5	66
1775	4	48
1850	7	56
1925	4	39
2000	6	58

Run 21
50	0	17
125	4	42
200	6	67
275	8	63
350	13	49
425	14	73
500	15	52
575	10	60
650	14	58
725	13	62
800	14	64
875	7	41
950	5	60
1025	6	47
1100	7	39
1175	8	77
1250	7	48
1325	4	38
1400	5	33
1475	10	65
1550	6	49
1625	7	56
1700	7	59
1775	10	55
1850	11	59
1925	15	62
2000	11	46

Run 22
50	1	73
125	10	63
200	14	58
275	13	53
350	17	59
425	15	66
500	17	65
575	12	41
650	16	47
725	14	54
800	11	42
875	10	41
950	10	50
1025	9	44
1100	10	70
1175	7	73
1250	8	72
1325	11	70
1400	9	54
1475	10	83
1550	11	73
1625	9	72
1700	8	65
1775	9	59
1850	8	56
1925	9	73
2000	6	54

Run 23
50	2	57
125	8	50
200	11	51
275	15	58
350	15	60
425	13	38
500	14	50
575	14	61
650	15	55
725	11	59
800	14	63
